method_id,slug,title,acronym,difficulty_1_to_5,student_trial_cost_low_usd,student_trial_cost_high_usd,ownership_cost_low_usd,ownership_cost_high_usd,best_geometry,automation_level,student_recommendation,fallback,svg_file,document_file
C01,gantry-dispensed-coating,Gantry-Dispensed Conductive Coating,GDC,2,250,1000,500,2500,"Open grooves, flat faces, broad tracks and reachable pads",Student-built two-and-a-half-axis motion,Recommended first automated method,"Return to a manual brush-and-mask baseline, or move to robotic spray only if surface coverage rather than trace precision is the main problem.",diagrams/conductive-coatings/gantry-dispensed-coating.svg,conductive-coatings/gantry-dispensed-coating.md
C02,robotic-spray-coating,Robotic Airbrush or Spray Coating,RSC,3,500,2000,1500,8000,"Broad external surfaces, shells and gently curved parts",Three-axis spray cell with indexed part rotation,Useful second method for area coverage,"Use gantry dispensing for selective tracks, or contract a professional coating service when a compliant spray enclosure is unavailable.",diagrams/conductive-coatings/robotic-spray-coating.svg,conductive-coatings/robotic-spray-coating.md
C03,automated-electroless-seed,Automated Electroless Seed Coating,AESC,4,500,2500,5000,25000,Complex external surfaces and accessible internal passages,Supervised wet-process line with timed transfers,Shared-laboratory method after coupon success,"Use direct conductive-filament electroplating for simpler open features, or purchase an electroless seeding service for complex parts.",diagrams/conductive-coatings/automated-electroless-seed.svg,conductive-coatings/automated-electroless-seed.md
C04,inkjet-catalyst-seed,Inkjet-Printed Catalyst or Metal Seed,ICS,4,1000,4000,20000,100000,Fine planar or gently curved traces,Drop-on-demand digital patterning,Service-first research method,"Use gantry dispensing for wider tracks, or aerosol jet printing through a service when non-planar fine features are essential.",diagrams/conductive-coatings/inkjet-catalyst-seed.svg,conductive-coatings/inkjet-catalyst-seed.md
C05,aerosol-jet-seed,Aerosol Jet Printed Seed,AJP,5,2000,8000,100000,500000,Fine conformal traces over moderate three-dimensional relief,Commercial aerodynamic direct-write system,External-service or research-facility method,"Use inkjet for planar fine traces, gantry dispensing for wider conformal traces, or a dual-material conductive filament when resolution is not essential.",diagrams/conductive-coatings/aerosol-jet-seed.svg,conductive-coatings/aerosol-jet-seed.md
C06,laser-direct-structuring,Laser Direct Structuring,LDS,5,2000,10000,75000,300000,Fine three-dimensional circuits on laser-activatable polymers,Enclosed laser activation and electroless line,Industrial or university-service method,"Use laser activation of a removable coating, dual-material conductive filament, or a service that accepts ordinary resins if LDS-grade material is unavailable.",diagrams/conductive-coatings/laser-direct-structuring.svg,conductive-coatings/laser-direct-structuring.md
C07,flash-ablation-metallization,Flash Ablation Metallization,FAM,5,2000,10000,20000,100000,Exposed conductive-composite faces and shallow traces,Enclosed high-intensity pulsed-light processing,Research collaboration method,"Use direct electroless plating of the conductive composite, mechanical surface preparation, or a lower-energy laser activation service.",diagrams/conductive-coatings/flash-ablation-metallization.svg,conductive-coatings/flash-ablation-metallization.md
C08,physical-vapor-deposition,Physical Vapor Deposition Seed Layer,PVD,4,1000,5000,75000,500000,Thin external line-of-sight coatings and delicate templates,Vacuum deposition through a facility or service,Service-first method for uniform thin seeds,"Use electroless seeding for hidden surfaces, or a sprayed and masked conductive coating when vacuum access or budget is unavailable.",diagrams/conductive-coatings/physical-vapor-deposition.svg,conductive-coatings/physical-vapor-deposition.md
C09,laser-induced-graphene,Laser-Induced Graphene Seed,LIG,4,1000,5000,10000,75000,Exposed laser-accessible carbon-forming surfaces,Enclosed laser writing followed by copper deposition,Advanced student research with facility laser,"Use a conductive paint, conductive filament or professionally laser-activated metal catalyst when the substrate cannot form stable LIG.",diagrams/conductive-coatings/laser-induced-graphene.svg,conductive-coatings/laser-induced-graphene.md
C10,catalyst-loaded-resin,Catalyst-Loaded Multi-Material Resin,CLMR,5,2000,10000,25000,150000,Free-form selectively metallised vat-printed structures,Multi-material vat printing plus electroless plating,"Research thesis extension, not baseline build","Use commercial conductive filament, a surface-applied seed or an external selective-metallization service rather than formulating active resin.",diagrams/conductive-coatings/catalyst-loaded-resin.svg,conductive-coatings/catalyst-loaded-resin.md
